------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  3.372       m                  fsamp  =  50000     Hz 
        Uinf  =  21.4255     m/s                Tsamp  =  120       s 
        Utau  =  0.7099      m/s                 fcut  =  25000     Hz 
          nu  =  1.5440e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1725      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
11503.036   1.4502      30.1421     0.0433      0.0199      
9985.726    1.2589      30.1171     0.0500      0.0402      
8668.729    1.0929      30.0237     0.1385      0.1701      
7525.609    0.9488      29.6995     0.4788      0.6467      
6533.379    0.8237      29.0350     1.1706      1.4699      
5672.085    0.7151      28.1837     2.0162      2.2342      
4924.579    0.6208      27.2512     2.8866      2.7393      
4275.690    0.5390      26.5028     3.6550      3.1490      
3712.497    0.4680      25.7876     4.3812      3.3955      
3223.646    0.4064      25.1771     4.9923      3.6237      
2799.298    0.3529      24.6286     5.5295      3.7527      
2430.993    0.3065      24.1044     6.0495      3.8891      
2111.375    0.2662      23.6671     6.4929      4.0754      
1833.825    0.2312      23.2490     6.9311      4.1955      
1593.008    0.2008      22.9220     7.2601      4.3047      
1383.914    0.1745      22.5410     7.6473      4.5221      
1202.451    0.1516      22.1942     7.9829      4.6653      
1044.941    0.1317      21.8226     8.3283      4.8867      
908.212     0.1145      21.4448     8.7547      5.0151      
789.597     0.0995      21.1331     9.0674      5.1764      
686.567     0.0866      20.8229     9.3805      5.2305      
597.146     0.0753      20.5160     9.6821      5.3794      
519.540     0.0655      20.1739     10.0188     5.5604      
452.187     0.0570      19.9212     10.2800     5.6208      
393.707     0.0496      19.5825     10.6102     5.7313      
342.997     0.0432      19.2862     10.8950     5.8283      
298.953     0.0377      18.9958     11.1989     5.8576      
260.702     0.0329      18.6758     11.5278     5.9310      
227.554     0.0287      18.3293     11.8743     5.8975      
198.727     0.0251      17.9156     12.2843     6.0093      
173.717     0.0219      17.6342     12.5588     6.0791      
152.063     0.0192      17.2959     12.9106     6.0159      
133.167     0.0168      16.9499     13.2588     5.9730      
116.800     0.0147      16.6299     13.5630     5.9996      
102.640     0.0129      16.2794     13.9185     5.9675      
90.319      0.0114      15.9904     14.1976     6.0070      
79.606      0.0100      15.6999     14.4946     6.0835      
70.320      0.0089      15.3762     14.7969     6.1389      
62.274      0.0079      15.0807     15.0888     6.2032      
55.286      0.0070      14.7819     15.3964     6.2543      
48.252      0.0061      14.4431     15.7293     6.3722      
41.585      0.0052      14.0712     16.0974     6.6429      
35.057      0.0044      13.5550     16.6050     6.8681      
29.356      0.0037      13.0360     17.1171     7.2371      
24.483      0.0031      12.3957     17.7665     7.5999      
20.207      0.0025      11.6671     18.4931     7.8802      
16.805      0.0021      10.8723     19.2965     8.0102      
13.954      0.0018      9.9923      20.1927     7.8578      
11.656      0.0015      9.0691      21.1132     7.5043      
9.725       0.0012      8.1602      22.0363     6.8303      
8.024       0.0010      7.0948      23.1098     5.6634      
6.506       0.0008      6.1384      24.0760     4.3536      
5.679       0.0007      5.6248      24.5735     3.5592      
