------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  24.4883     m/s                Tsamp  =  300       s 
        Utau  =  1.0191      m/s                 fcut  =  25000     Hz 
          nu  =  1.5747e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3242      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
34016.938   1.6214      23.9038     0.0134      0.0057      
27410.235   1.3065      23.9440     -0.0025     0.0196      
22088.099   1.0528      23.8182     0.1415      0.2187      
17800.903   0.8485      23.0709     0.9032      1.0726      
14347.174   0.6838      21.9793     2.0120      1.9645      
11565.047   0.5512      20.8901     3.0967      2.6293      
9323.916    0.4444      19.9114     4.1016      3.1606      
7518.416    0.3584      19.0289     4.9774      3.5685      
6064.089    0.2890      18.2581     5.7688      3.8663      
4892.588    0.2332      17.5601     6.4777      4.2212      
3948.838    0.1882      16.8890     7.1291      4.4569      
3188.570    0.1520      16.3325     7.6648      4.7196      
2576.123    0.1228      15.7640     8.2374      5.0108      
2082.761    0.0993      15.2353     8.7785      5.2232      
1685.379    0.0803      14.6978     9.3120      5.4702      
1365.143    0.0651      14.1873     9.8240      5.6158      
1107.298    0.0528      13.6375     10.4096     5.8566      
899.546     0.0429      13.1270     10.9290     6.0039      
732.180     0.0349      12.5530     11.4989     6.1112      
597.367     0.0285      11.9988     12.0456     6.2003      
488.767     0.0233      11.4260     12.5986     6.1597      
401.201     0.0191      10.8988     13.1281     6.1540      
330.720     0.0158      10.3725     13.7164     6.0058      
274.025     0.0131      9.8533      14.2372     5.8122      
228.333     0.0109      9.3728      14.7046     5.6088      
191.442     0.0091      8.9035      15.1593     5.3969      
161.736     0.0077      8.4947      15.5849     5.1942      
137.789     0.0066      8.0906      15.9838     5.0312      
118.632     0.0057      7.6735      16.3883     4.8753      
103.099     0.0049      7.3242      16.7409     4.7482      
90.608      0.0043      6.9925      17.0824     4.5436      
86.596      0.0041      6.8830      17.1952     4.4915      
