------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.272       m                  fsamp  =  50000     Hz 
        Uinf  =  31.2768     m/s                Tsamp  =  120       s 
        Utau  =  0.9229      m/s                 fcut  =  25000     Hz 
          nu  =  1.5391e-05  m2/s               wireL  =  0.300     mm 
       del99  =  0.1557      m                  wireD  =  1.50      micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
20985.613   2.2477      33.8636     -0.0861     0.0063      
17723.797   1.8984      33.8848     -0.0891     0.0098      
14968.959   1.6033      33.8754     -0.0810     0.0158      
12642.251   1.3541      33.8955     -0.0705     0.0416      
10677.174   1.1436      33.8582     -0.0081     0.2095      
9017.544    0.9659      33.3466     0.5298      1.0656      
7615.871    0.8157      32.2437     1.6047      2.5400      
6431.980    0.6889      30.9684     2.8821      3.9610      
5432.172    0.5818      29.7123     4.1334      5.1598      
4587.727    0.4914      28.4860     5.3747      6.1223      
3874.418    0.4150      27.4012     6.4623      6.8891      
3272.159    0.3505      26.3939     7.4797      7.6047      
2763.381    0.2960      25.5994     8.3105      8.2390      
2333.752    0.2500      24.7089     9.1938      8.9317      
1970.862    0.2111      23.8778     10.0436     9.5063      
1664.396    0.1783      23.1674     10.7605     9.8360      
1405.480    0.1505      22.5147     11.3832     10.1971     
1186.918    0.1271      21.8919     12.0048     10.2336     
1002.235    0.1073      21.5106     12.4283     10.5666     
846.273     0.0906      20.9687     12.9549     10.4324     
714.597     0.0765      20.5098     13.3989     10.1002     
603.307     0.0646      20.0236     13.8893     9.7987      
509.466     0.0546      19.6150     14.3233     9.7029      
430.077     0.0461      19.2163     14.7680     9.5026      
363.099     0.0389      18.8976     14.9537     9.2976      
306.435     0.0328      18.5580     15.3488     9.2353      
258.585     0.0277      18.2332     15.7960     9.1008      
218.291     0.0234      17.7405     16.1249     8.9223      
184.172     0.0197      17.4018     16.4926     8.8028      
155.390     0.0166      17.0647     16.8301     8.7517      
131.106     0.0140      16.7542     17.1491     8.6810      
110.539     0.0118      16.3081     17.6265     8.5696      
93.150      0.0100      15.9403     17.9844     8.4978      
78.579      0.0084      15.5477     18.3575     8.4236      
66.167      0.0071      15.1478     18.7724     8.3561      
55.614      0.0060      14.7941     19.1529     8.3502      
46.859      0.0050      14.3346     19.5940     8.4625      
38.284      0.0041      13.7915     20.1811     8.6796      
31.629      0.0034      13.2634     20.6607     8.8940      
25.513      0.0027      12.5268     21.3274     9.1428      
20.476      0.0022      11.6843     22.1815     9.3535      
16.638      0.0018      10.8021     23.0435     9.3819      
13.580      0.0015      9.8636      23.9922     9.0709      
11.242      0.0012      8.8804      24.9785     8.4705      
9.203       0.0010      7.9498      25.9289     7.6394      
8.303       0.0009      7.3722      26.5407     6.9508      
