------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.578       m                  fsamp  =  50000     Hz 
        Uinf  =  17.1017     m/s                Tsamp  =  400       s 
        Utau  =  0.5056      m/s                 fcut  =  25000     Hz 
          nu  =  1.5944e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3353      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
16676.147   1.5683      33.7467     -0.0495     0.0136      
13438.868   1.2639      33.7685     -0.0678     0.0518      
10831.025   1.0186      33.4390     0.2811      0.5961      
8730.271    0.8210      32.1687     1.5394      2.3092      
7037.978    0.6619      30.6428     3.1395      3.8875      
5674.737    0.5337      29.1030     4.7227      5.0491      
4576.585    0.4304      27.6695     6.1258      5.8520      
3691.923    0.3472      26.4224     7.3780      6.6653      
2979.304    0.2802      25.3752     8.5124      7.2478      
2405.238    0.2262      24.3667     9.5015      7.7353      
1942.801    0.1827      23.5280     10.3053     8.2825      
1570.270    0.1477      22.7312     11.1030     8.6578      
1270.171    0.1195      21.9782     11.8491     8.8491      
1028.424    0.0967      21.4002     12.4247     8.9364      
833.644     0.0784      20.7785     13.0561     8.7821      
676.824     0.0637      20.3009     13.5408     8.7691      
550.448     0.0518      19.7876     14.0322     8.7215      
448.650     0.0422      19.3618     14.4812     8.4640      
366.641     0.0345      18.9507     14.8861     8.5054      
300.551     0.0283      18.5062     15.3073     8.3375      
247.369     0.0233      18.0956     15.7357     8.3127      
204.493     0.0192      17.7078     16.1236     8.1318      
169.957     0.0160      17.2891     16.5387     8.1373      
142.145     0.0134      16.8977     16.9249     8.0244      
119.724     0.0113      16.5071     17.3587     8.0479      
101.680     0.0096      16.1533     17.7032     7.9399      
87.155      0.0082      15.8179     18.0404     7.8905      
75.390      0.0071      15.4732     18.3807     7.8649      
66.003      0.0062      15.1549     18.7117     7.9304      
58.360      0.0055      14.8574     18.9841     7.9601      
52.271      0.0049      14.6054     19.2545     8.1150      
43.074      0.0041      14.1390     19.7163     8.3788      
34.353      0.0032      13.5481     20.2798     8.6530      
26.520      0.0025      12.7229     21.0776     9.0987      
20.463      0.0019      11.7390     22.0598     9.4688      
15.928      0.0015      10.6829     23.1095     9.6267      
12.567      0.0012      9.5258      24.3059     9.2690      
10.061      0.0009      8.3367      25.5036     8.5519      
8.158       0.0008      7.2206      26.6406     7.3606      
6.605       0.0006      6.1381      27.6876     5.7946      
5.336       0.0005      5.2852      28.5570     4.3861      
