------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  17.2146     m/s                Tsamp  =  400       s 
        Utau  =  0.7153      m/s                 fcut  =  25000     Hz 
          nu  =  1.5619e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3218      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
24069.249   1.6333      24.0680     -0.0052     0.0055      
19394.567   1.3161      24.0783     -0.0396     0.0215      
15628.801   1.0605      23.9387     0.1181      0.2404      
12595.279   0.8547      23.1351     0.9361      1.1195      
10151.581   0.6889      22.0053     2.0610      2.0027      
8183.041    0.5553      20.9051     3.1714      2.6619      
6597.291    0.4477      19.8805     4.1849      3.1614      
5319.826    0.3610      19.0121     5.0582      3.5545      
4290.747    0.2912      18.2030     5.8665      3.8850      
3461.832    0.2349      17.5113     6.5452      4.1504      
2794.066    0.1896      16.8540     7.1944      4.4533      
2256.126    0.1531      16.3422     7.7092      4.6568      
1822.779    0.1237      15.7656     8.2796      4.8986      
1473.692    0.1000      15.2680     8.7779      5.1801      
1192.518    0.0809      14.6915     9.3564      5.4068      
965.930     0.0655      14.1915     9.8623      5.5478      
783.487     0.0532      13.6740     10.3753     5.7323      
636.489     0.0432      13.1128     10.9237     5.8539      
518.066     0.0352      12.5909     11.5085     5.9775      
422.677     0.0287      12.0608     12.0722     5.9751      
345.881     0.0235      11.5421     12.5574     5.9144      
283.922     0.0193      10.9976     13.1054     5.7738      
234.007     0.0159      10.4854     13.6228     5.6901      
193.845     0.0132      10.0100     14.0816     5.4542      
161.561     0.0110      9.5550      14.5262     5.2857      
135.458     0.0092      9.1016      14.9759     5.0974      
114.485     0.0078      8.7195      15.3597     4.8790      
97.541      0.0066      8.3495      15.7182     4.7997      
83.940      0.0057      8.0007      16.0657     4.6925      
72.950      0.0050      7.6510      16.4146     4.6266      
64.111      0.0044      7.3351      16.7228     4.5053      
56.372      0.0038      7.0259      17.0303     4.3539      
48.679      0.0033      6.6928      17.3568     4.1792      
40.848      0.0028      6.3098      17.7406     3.9985      
39.566      0.0027      6.2573      17.8188     3.9807      
